Time,L_S,A,B,C,D,E
49618.45833331305,360.0064288887501,10.96592579330175,13.331933890556243,829.6650660098289,831.2010343666993,847.3530368746614
49618.499999979715,360.0269042923036,10.999999999999991,13.206646787464306,838.0196146432883,839.1640994744093,855.5278151374697
49618.54166664638,360.047379695857,10.965925859286635,12.808766896659836,849.0476832118597,850.0512926667915,866.6267214849503
49618.58333331304,360.06785509941045,10.866025467526216,12.15204928275718,863.3776225313101,864.8650311918835,881.6521731651407
49618.62499997971,360.0883305029639,10.707106871365637,11.26811638542266,877.5661885655203,879.4886825111716,896.4875376395271
49618.66666664637,360.1088059065174,10.50000011043835,10.204527071590089,886.2120231435192,887.5601347631027,904.7707030465565
49618.708333313036,360.12928131007084,10.258819168327763,9.02175191422206,886.4475564538126,886.1403703771609,903.5626518157131
49618.7499999797,360.1497567136243,10.000000127562886,7.7892571203082195,880.5714406851309,878.6234929269166,896.2574875205671
49618.791666646364,360.17023211717776,9.741181078104809,6.580960482818455,874.2567134282311,871.9243609035593,889.7700686523082
49618.83333331303,360.1907075207312,9.50000011050705,5.470365769689284,871.9342105656134,870.5424982774117,888.599919181259
49618.87499997969,360.2111829242846,9.292893309035525,4.525704196867673,873.5566992256814,873.1217564836501,891.3908905425957
49618.91666664636,360.2316583278381,9.133974660036671,3.8054115108121147,875.5035690802207,874.6140823709064,893.0949295849504
49618.95833331302,360.25213373139155,9.034074206744773,3.3542467325811067,874.382356742601,871.6332396691041,890.3258000382464
49618.999999979686,360.272609134945,9.000000000000009,3.200315341768364,869.876962777295,865.5589726429495,884.4632461671902
49619.04166664635,360.29320868944683,9.034074140666842,3.353198504096389,864.0634155665384,860.4653710558787,879.3894938150997
49619.083333313014,360.3138082440092,9.13397453238391,3.8033150732232914,858.3486773005002,857.8960655980082,876.840037498667
49619.12499997968,360.33440779857153,9.29289312850726,4.522559587698565,851.5632751319139,854.8385228361514,873.8023438782477
49619.16666664634,360.3550073531339,9.499999889405983,5.4661730422167345,841.3880749399787,846.5466946885916,865.5303648721257
49619.20833331301,360.37560690769624,9.741180831498612,6.575719702689274,827.6678990245929,831.8427101744581,850.8462294994298
49619.24999997967,360.3962064622586,9.999999872257364,7.782968361395014,814.0215750052954,815.4692668171338,834.4926352835431
49619.291666646335,360.4168060168209,10.258818921721566,9.014415253950265,805.7439077855488,804.8884635299722,823.9316811378192
49619.333333313,360.43740557138324,10.499999889337282,10.196142586326928,805.746621587988,804.3743187965148,823.4373855457994
49619.374999979664,360.4580051259456,10.707106690837373,11.25868414556017,812.3942541757295,811.9495843194675,831.0325002101897
49619.41666664633,360.47860468050794,10.866025339873454,12.14156934872404,821.3546230512808,821.9594324407444,841.0621974729044
49619.45833331299,360.4992042350703,10.965925793208704,12.797239315452885,829.6650659991786,830.5809336410945,849.703547814692
49619.49999997966,360.51980378963265,10.999999999999991,13.19407159014718,838.0196146305309,838.7905759006827,857.9330392157179
49619.54166664632,360.540403344195,10.96592585937968,13.318311091189761,849.0476831941294,849.9936013934498,869.1559138499226
49619.583333312985,360.56100289875735,10.866025467705965,13.174779525654808,863.3776225105283,864.9554435017477,884.1376050996582
49619.62499997965,360.5816024533197,10.707106871619843,12.786318827824218,877.5661885486905,879.4209554658453,898.6229662051934
49619.66666664631,360.60220200788206,10.500000110749685,12.192010448606597,886.2120231356835,887.1106166353999,906.3324765161857
49619.70833331298,360.6228015624444,10.258819168675013,11.444295684485608,886.4475564588233,885.3351697474319,904.5768787696553
49619.74999997964,360.6434011170067,10.000000127922386,10.605196989487123,880.5714406948804,877.7187030690856,896.9802612327467
49619.791666646306,360.66400067156906,9.741181078452058,9.741901291083698,874.2567134350741,871.2352883030803,890.516695608179
49619.83333331297,360.6846002261314,9.500000110818386,8.92200954666822,871.9342105655342,870.2763282981647,889.5775847447011
49619.874999979635,360.70519978069376,9.292893309289731,8.208779215114506,873.5566992218485,873.3244831682102,892.6455887561842
49619.9166666463,360.7257993352561,9.13397466021642,7.656686441576052,875.5035690791714,875.2067464083102,894.5477011377219
49619.95833331296,360.74639888981847,9.034074206837818,7.307612551677493,874.3823567467815,872.4459952706686,891.8067991415179
49619.99999997963,360.7669984443808,9.000000000000009,7.187916473357196,869.8769627849287,866.3374292535547,885.7180822658416
49620.04166664629,360.7893462821332,9.034074140573797,7.306593848620775,864.0634155745394,860.8753065273553,880.3051589474893
49620.083333312956,360.81169412074036,9.13397453220416,7.654649053744658,858.3486773078048,857.9331024180543,877.4121542603859
49620.12499997962,360.8340419593475,9.292893128253056,8.205723177791072,851.5632751433723,854.6043783771909,874.1326296417202
