Day,Close
0,2002.280029
1,2000.719971
2,1997.6500239999998
3,2007.709961
6,2001.540039
7,1988.439941
8,1995.689941
9,1997.449951
10,1985.540039
13,1984.130005
14,1998.97998
15,2001.569946
16,2011.359985
17,2010.4000239999998
20,1994.290039
21,1982.77002
22,1998.300049
23,1965.9899899999998
24,1982.8499760000002
27,1977.800049
28,1972.290039
29,1946.160034
30,1946.1700440000002
31,1967.9000239999998
34,1964.819946
35,1935.0999760000002
36,1968.890015
37,1928.209961
38,1906.130005
41,1874.7399899999998
42,1877.699951
43,1862.4899899999998
44,1862.7600100000002
45,1886.7600100000002
48,1904.0100100000002
49,1941.280029
50,1927.109985
51,1950.819946
52,1964.5799559999998
55,1961.630005
56,1985.050049
57,1982.300049
58,1994.6500239999998
59,2018.050049
62,2017.810059
63,2012.0999760000002
64,2023.569946
65,2031.209961
66,2031.9200440000002
69,2038.2600100000002
70,2039.680054
71,2038.25
72,2039.3299559999998
73,2039.819946
76,2041.319946
77,2051.800049
78,2048.719971
79,2052.75
80,2063.5
83,2069.409912
84,2067.030029
85,2072.830078
87,2067.560059
90,2053.439941
91,2066.550049
92,2074.330078
93,2071.919922
94,2075.3701170000004
97,2060.310059
98,2059.820068
99,2026.140015
100,2035.3299559999998
101,2002.3299559999998
104,1989.630005
105,1972.7399899999998
106,2012.890015
107,2061.22998
108,2070.649902
111,2078.540039
112,2082.169922
113,2081.8798829999996
115,2088.77002
118,2090.570068
119,2080.350098
120,2058.899902
122,2058.199951
125,2020.5799559999998
126,2002.609985
127,2025.9000239999998
128,2062.139893
129,2044.810059
132,2028.2600100000002
133,2023.030029
134,2011.27002
135,1992.6700440000002
136,2019.4200440000002
140,2022.550049
141,2032.119995
142,2063.149902
143,2051.820068
146,2057.090088
147,2029.550049
148,2002.160034
149,2021.25
150,1994.9899899999998
153,2020.8499760000002
154,2050.030029
155,2041.5100100000002
156,2062.52002
157,2055.469971
160,2046.7399899999998
161,2068.590088
162,2068.530029
163,2088.47998
164,2096.98999
168,2100.340088
169,2099.679932
170,2097.449951
171,2110.300049
174,2109.659912
175,2115.47998
176,2113.860107
177,2110.73999
178,2104.5
181,2117.389893
182,2107.780029
183,2098.530029
184,2101.040039
185,2071.26001
188,2079.429932
189,2044.160034
190,2040.2399899999998
191,2065.949951
192,2053.399902
195,2081.189941
196,2074.280029
197,2099.5
198,2089.27002
199,2108.100098
202,2104.419922
203,2091.5
204,2061.050049
205,2056.149902
206,2061.02002
209,2086.23999
210,2067.889893
211,2059.689941
212,2066.959961
216,2080.6201170000004
217,2076.330078
218,2081.899902
219,2091.179932
220,2102.060059
223,2092.429932
224,2095.840088
225,2106.6298829999996
226,2104.98999
227,2081.179932
230,2100.399902
231,2097.290039
232,2107.959961
233,2112.929932
234,2117.689941
237,2108.919922
238,2114.76001
239,2106.850098
240,2085.51001
241,2108.290039
244,2114.48999
245,2089.459961
246,2080.149902
247,2088.0
248,2116.100098
251,2105.330078
252,2099.1201170000004
253,2098.47998
254,2121.100098
255,2122.72998
258,2129.199951
259,2127.830078
260,2125.850098
261,2130.820068
262,2126.060059
266,2104.199951
267,2123.47998
